Date	Toyota	Ford	GM
5/7/2001	-0.009439404	-0.019222979	-0.010170324
5/14/2001	-0.002140704	-0.010908168	0.017695165
5/21/2001	0.019922854	-0.04017349	-0.004254844
5/29/2001	-0.007364385	-0.002558443	0.017362119
6/4/2001	-0.011687535	-0.010606273	0.004088882
6/11/2001	0.001603304	0.001531133	0.001837161
6/18/2001	0.005301998	0.019428552	0.024936139
6/25/2001	0.008156924	-0.011209586	0.01017467
7/2/2001	-0.01159585	-0.004739372	-0.017246979
7/9/2001	0.002581744	0.022990606	0.029530874
7/16/2001	-0.003578824	0.002662507	-0.007856798
7/23/2001	-0.005626349	-0.008453186	-0.01432854
7/30/2001	-0.010093982	-0.000208245	0.002632371
8/6/2001	-0.003255233	-0.003135714	0.001265112
8/13/2001	-0.013557358	-0.057572541	-0.02478643
8/20/2001	0.004779178	-0.026928214	-0.018441871
8/27/2001	-0.021522845	-0.011099958	-0.017492098
9/4/2001	-0.000671416	-0.025023574	-0.027413434
9/10/2001	-0.113227212	-0.087458033	-0.106154533
9/24/2001	0.044272423	0.053479977	0.02761392
10/1/2001	0.033420514	0.008012493	-0.005464572
10/8/2001	-0.024328183	0.001467708	0.018254216
10/15/2001	-0.023595369	-0.030969117	-0.028569195
10/22/2001	0.001355054	0.003760149	0.040492748
10/29/2001	0.003414	-0.005652503	-0.031252091
11/5/2001	0.010171296	0.004715513	0.012589127
11/12/2001	-0.015121344	0.01505664	0.041452052
11/19/2001	0.02998736	0.020642455	0.003664954
11/26/2001	-0.014866017	0.025175433	0.017874724
12/3/2001	-0.011425965	-0.043708928	0.016189517
12/10/2001	-0.024364524	-0.026968077	-0.036070223
12/17/2001	0.008553636	-0.017955354	-0.001540263
12/24/2001	0.011753295	0.014100644	0.014588718
12/31/2001	0.025934421	0.025987169	0.010208489
1/7/2002	0.001193117	-0.038424485	-0.002811705
1/14/2002	-0.001876373	-0.029181287	0
1/22/2002	0.01155488	0.003184251	-0.011316643
1/28/2002	-0.017493012	0.011822998	0.022895547
2/4/2002	-0.013196108	-0.015718042	-0.010789789
2/11/2002	0.018706659	0.007405932	0.008476484
2/19/2002	-0.005683888	-0.001400951	0.023434588
2/25/2002	0.003883434	0.03047743	0.014915071
3/4/2002	0.040493565	0.031530132	0.043089956
3/11/2002	0.012725511	0.003030679	0.000366107
3/18/2002	-0.020862599	-0.006695633	-0.006080591
3/25/2002	0.011101034	-0.004625118	0.003879304
4/1/2002	-0.01245883	-0.039907281	-0.003137713
4/8/2002	-0.012332747	0.008413562	0.011516059
4/15/2002	0.015203072	0.028070385	0.025484519
4/22/2002	-0.006646473	-0.001565027	-0.005564113
4/29/2002	-0.015860023	-0.003147075	0.00776995
5/6/2002	0.0058195	-0.007004902	0.003371869
5/13/2002	0.018431789	0.023734432	0.001843429
5/20/2002	-0.002381006	0.025666973	-0.006571409
5/28/2002	-0.011042321	-0.002009962	-0.019444087
6/3/2002	-0.02064677	-0.0279328	-0.027390003
6/10/2002	-0.018896759	-0.01785667	-0.022112197
6/17/2002	-0.009308926	-0.010028847	-0.0032958
6/24/2002	0.029829218	0.013215175	-0.012715936
7/1/2002	-0.006704065	-0.00865732	-0.014484822
7/8/2002	-0.013816226	-0.094810017	-0.045058363
7/15/2002	-0.00684936	-0.007722801	-0.039254899
7/22/2002	-0.020173108	0.007319743	0.004897141
7/29/2002	0.005390333	-0.002020918	0.002300565
8/5/2002	0.029254642	-0.021594614	0.012068004
8/12/2002	-0.015381194	-0.016931164	0.014628197
8/19/2002	0.00290317	0.014797035	0.022540032
8/26/2002	0.000451872	-0.000428087	-0.000569417
9/3/2002	-0.006919723	-0.062543439	-0.019103185
9/9/2002	-0.002023829	0.01887482	-0.016628647
9/16/2002	0.025166663	-0.03757334	-0.011535058
9/23/2002	0.001303275	-0.006241465	-0.032986885
9/30/2002	-0.016894554	-0.045815703	-0.038387175
10/7/2002	-0.019178079	-0.017219672	-0.019448128
10/14/2002	0.019628826	-0.003649555	-0.006469175
10/21/2002	0.008299726	0.023770336	0.015305741
10/28/2002	0.001500155	-0.009352598	-0.01897743
11/4/2002	0.007077483	0.015667632	0.005100031
11/11/2002	0.010785163	-0.004583625	0.014337539
11/18/2002	-0.014440569	0.072018661	0.030055193
11/25/2002	0.011641669	0.047121666	0.023932592
12/2/2002	-0.01435958	-0.061508521	-0.027667864
12/9/2002	-0.000263929	-0.007632788	-0.008597286
12/16/2002	-0.001233792	0.003578668	0.006282587
12/23/2002	0.010721713	-0.009262556	-0.006135443
12/30/2002	0.014645759	0.004655971	0.023202255
1/6/2003	-0.007896481	0.035078647	0.006368474
1/13/2003	-0.008301872	-0.013987372	0.009784269
1/21/2003	-0.012357916	-0.018014796	-0.027455776
1/27/2003	-0.024975269	-0.02470338	-0.014407471
2/3/2003	0.015175019	-0.015413843	-0.003715117
2/10/2003	0.000181827	-0.005072933	-0.030603304
2/18/2003	-0.004201409	-0.013239956	0.011691427
2/24/2003	-0.014084444	-0.005884839	-0.002971953
3/3/2003	0.000284317	-0.061646859	-0.035639324
3/10/2003	-0.008225158	-0.02894015	0.012262852
3/17/2003	0.012842849	0.074287735	0.041964502
3/24/2003	-0.006802228	-0.03389152	-0.015771989
3/31/2003	-0.025389666	0.027071623	0.011388956
4/7/2003	-0.022053295	0.011713407	-0.000760187
4/14/2003	0.016158265	0.064856319	0.006644412
4/21/2003	-0.009413444	0.024445063	0.002986906
4/28/2003	0.024498121	0.007851866	0.002226775
5/5/2003	0.018005425	-0.006368787	0.002068073
5/12/2003	-0.011822844	0.005395032	-0.01316598
5/19/2003	0.000486932	-0.020458778	-0.01483327
5/27/2003	0.015582171	0.040927951	0.026227221
6/2/2003	0.025350156	0.008746024	0.005002092
6/9/2003	0.011278739	0.010356917	0.005523231
6/16/2003	0.011413769	0.021274048	0.02783009
6/23/2003	-0.010121097	-0.019054858	-0.028842263
6/30/2003	0.018612462	-0.006242533	-0.00407245
7/7/2003	0.013473868	0.016307239	-0.000438607
7/14/2003	-0.020789874	-0.011394858	0.001606066
7/21/2003	-0.005059799	-0.000889037	0.011647066
7/28/2003	-0.018365407	0.001332874	0.004937622
8/4/2003	0.007195992	-0.00760762	-0.003379741
8/11/2003	0.032358714	0.002251402	0.007289814
8/18/2003	0.003940482	0.018034058	0.018106733
8/25/2003	-0.004182902	0.012736821	0.02625834
9/2/2003	0.02702731	0.006231018	0.006478408
9/8/2003	0.030570416	-0.004977642	-0.001858875
9/15/2003	0.008134932	-0.003350408	0.003586676
9/22/2003	-0.026941628	-0.019343377	-0.015165192
9/29/2003	0.013822934	0.015543012	0.010583853
10/6/2003	0.00313932	0.010889342	0.013963293
10/13/2003	-0.003497501	0.015838581	0.003481578
10/20/2003	-0.019569096	-0.008456627	-0.013233197
10/27/2003	-0.010624543	0.012031087	0.008544574
11/3/2003	0.038217292	0.001973172	0.002530931
11/10/2003	-0.007951993	0.0267225	-0.001565027
11/17/2003	-0.022800916	-0.020856209	-0.006806882
11/24/2003	0.003984036	0.028926102	0.011962129
12/1/2003	0.024865152	-0.007699808	0.03203994
12/8/2003	0.018604105	0.024453499	0.033849964
12/15/2003	0.014316868	0.04544267	0.00498902
12/22/2003	-0.00507336	0.025976811	0.021911799
12/29/2003	0.010864473	-0.002678083	0.005452067
1/5/2004	0.002834746	0.01293864	0.001423451
1/12/2004	-0.002899388	-0.011448777	0.002079325
1/20/2004	-0.001100382	-0.008106665	-0.002648145
1/26/2004	-0.015235337	-0.034358205	-0.034130129
2/2/2004	0.014781427	-0.007610689	-0.009230726
2/9/2004	-0.004434276	0.002330447	0.006657579
2/17/2004	0.006699097	-0.005681502	-0.003316032
2/23/2004	0.00045155	-0.013321913	-0.003551249
3/1/2004	0.008744265	0.010960695	0.00240549
3/8/2004	-0.00298006	-0.025779653	-0.027778482
